               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093782,            0.038704,            0.050155,           0.0045805,             0.56906,            0.029398,           0.0098376,            0.063016,            0.018081,            0.040626,            0.070333,           0.0032963,           0.0032963
                   1,            0.063438,            0.040226,            0.030444,             0.61328,             0.16689,             0.14225,            0.054879,            0.051456,            0.018564,            0.017569,            0.040268,            0.006564,            0.006564
                   2,            0.060222,            0.035011,            0.014247,             0.23964,              0.2109,             0.17388,            0.057775,            0.050393,            0.017844,            0.019032,            0.010136,           0.0097657,           0.0097657
                   3,             0.05556,            0.034731,           0.0094817,             0.23996,             0.32797,             0.27792,            0.095857,            0.046759,             0.01745,            0.018075,            0.009703,            0.009703,            0.009703
                   4,            0.053478,            0.032783,           0.0078702,             0.30068,             0.31043,             0.29655,             0.10323,            0.047053,            0.015818,            0.011977,            0.009703,            0.009703,            0.009703
                   5,            0.049851,            0.033751,           0.0065872,             0.24954,             0.33728,             0.24261,            0.090871,             0.04744,            0.018027,            0.013985,            0.009604,            0.009604,            0.009604
                   6,            0.049783,            0.033347,            0.006042,             0.37462,              0.4513,             0.40891,             0.16612,            0.040742,            0.016543,            0.010304,            0.009505,            0.009505,            0.009505
                   7,            0.046847,            0.033023,           0.0051937,             0.35859,              0.4563,             0.42056,              0.1807,            0.041099,            0.015797,           0.0061567,            0.009406,            0.009406,            0.009406
                   8,            0.045133,            0.033195,           0.0047836,             0.44672,             0.49197,             0.47116,             0.20173,            0.040189,            0.015082,           0.0086817,            0.009307,            0.009307,            0.009307
                   9,            0.044866,            0.033289,           0.0041997,             0.26436,             0.18785,             0.17307,            0.064093,            0.053455,            0.018184,            0.036893,            0.009208,            0.009208,            0.009208
                  10,            0.043653,            0.031453,           0.0039128,             0.42437,             0.47421,              0.4616,             0.19708,            0.037479,            0.016472,           0.0075866,            0.009109,            0.009109,            0.009109
                  11,            0.042372,            0.032291,           0.0040918,             0.44885,              0.4369,             0.41999,             0.16712,            0.038616,            0.016828,           0.0086904,             0.00901,             0.00901,             0.00901
                  12,            0.043609,            0.032425,            0.003594,              0.5104,             0.54637,              0.5336,             0.22568,            0.034013,            0.015735,            0.004039,            0.008911,            0.008911,            0.008911
