               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094695,            0.038752,            0.051882,           0.0003984,             0.12564,          0.00033063,          9.1474e-05,            0.076128,            0.018747,             0.04436,            0.070333,           0.0032963,           0.0032963
                   1,            0.072687,            0.043383,            0.045604,           0.0029211,             0.37087,            0.030423,           0.0078326,            0.063942,            0.019832,            0.038886,            0.040268,            0.006564,            0.006564
                   2,            0.063651,            0.041195,            0.031043,             0.25778,             0.16238,             0.10018,            0.030271,            0.056414,            0.019287,            0.027269,            0.010136,           0.0097657,           0.0097657
                   3,            0.060555,            0.039079,            0.016233,            0.082116,             0.21348,            0.061213,            0.016575,            0.063247,            0.020039,            0.022908,            0.009703,            0.009703,            0.009703
                   4,            0.056851,            0.036142,           0.0094018,             0.60669,             0.11158,             0.10768,            0.036492,            0.054788,            0.019669,            0.034044,            0.009703,            0.009703,            0.009703
                   5,            0.054379,            0.036955,           0.0081663,             0.30125,             0.33716,              0.3038,              0.1179,            0.043722,            0.016616,            0.011032,            0.009604,            0.009604,            0.009604
                   6,            0.053228,            0.035793,           0.0066232,              0.2559,             0.30389,             0.24883,            0.096432,            0.043411,            0.016785,            0.013237,            0.009505,            0.009505,            0.009505
                   7,            0.050727,            0.035118,           0.0056891,             0.43579,             0.37426,              0.3134,             0.11771,            0.048619,            0.016187,            0.008672,            0.009406,            0.009406,            0.009406
                   8,            0.048868,            0.035163,           0.0049915,             0.40314,              0.5427,             0.44893,               0.193,            0.038994,            0.015708,            0.006555,            0.009307,            0.009307,            0.009307
                   9,            0.048112,            0.035172,           0.0044678,             0.41032,             0.48246,               0.458,             0.19489,            0.037335,            0.015482,           0.0067833,            0.009208,            0.009208,            0.009208
                  10,            0.047206,            0.032998,           0.0045135,             0.34361,              0.4534,             0.39233,             0.15157,            0.040438,            0.016306,           0.0096469,            0.009109,            0.009109,            0.009109
                  11,            0.046762,            0.033764,           0.0052156,             0.34025,             0.12089,             0.20782,              0.0775,            0.050139,            0.017753,            0.025457,             0.00901,             0.00901,             0.00901
                  12,            0.046838,            0.033983,            0.004086,             0.41644,             0.48136,             0.44495,             0.19604,            0.035151,            0.015626,           0.0064581,            0.008911,            0.008911,            0.008911
                  13,            0.044729,             0.03412,           0.0039286,             0.45856,             0.50287,              0.4936,             0.20645,            0.036192,            0.015945,           0.0078895,            0.008812,            0.008812,            0.008812
