               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09792,            0.036421,            0.053111,          0.00020624,            0.045962,          0.00011895,           2.949e-05,            0.073016,            0.019021,            0.043518,            0.070333,           0.0032963,           0.0032963
                   1,            0.083467,            0.038311,            0.045374,           0.0034029,            0.052884,           0.0034088,          0.00081632,            0.070409,            0.016432,            0.042688,            0.040268,            0.006564,            0.006564
                   2,            0.076627,             0.03969,            0.034371,             0.86437,            0.035406,            0.036623,           0.0095151,            0.066083,            0.060318,            0.053843,            0.010136,           0.0097657,           0.0097657
                   3,            0.071734,            0.041031,            0.023178,             0.86927,            0.057858,            0.047944,            0.012654,             0.06156,            0.025313,            0.029697,            0.009703,            0.009703,            0.009703
                   4,            0.069301,            0.038566,            0.017007,               0.534,            0.036979,            0.015522,           0.0037026,            0.066882,            0.023074,            0.039206,            0.009703,            0.009703,            0.009703
                   5,            0.066082,            0.039375,            0.014474,             0.52245,             0.17445,             0.16381,            0.049372,             0.05062,            0.019117,            0.016185,            0.009604,            0.009604,            0.009604
                   6,            0.062598,            0.038688,            0.011947,             0.23785,             0.28876,             0.22041,            0.069909,            0.048488,            0.018013,            0.011648,            0.009505,            0.009505,            0.009505
                   7,             0.06008,            0.038139,            0.010291,             0.46722,             0.33793,              0.2766,             0.10193,            0.047046,            0.019258,            0.014885,            0.009406,            0.009406,            0.009406
                   8,            0.058109,            0.038275,           0.0088022,             0.34465,             0.38108,             0.34466,             0.12484,            0.047008,            0.017376,            0.013215,            0.009307,            0.009307,            0.009307
                   9,            0.056751,            0.037923,           0.0079653,             0.33296,             0.31921,             0.30411,             0.10971,            0.046857,            0.017289,            0.015607,            0.009208,            0.009208,            0.009208
                  10,            0.055502,            0.036067,           0.0080647,             0.46367,             0.42784,              0.3224,             0.12482,            0.048669,            0.017949,            0.018239,            0.009109,            0.009109,            0.009109
                  11,            0.053557,            0.036493,           0.0080489,             0.35377,             0.44327,             0.40719,              0.1618,            0.042287,            0.017085,            0.008164,             0.00901,             0.00901,             0.00901
                  12,            0.054105,            0.036573,           0.0073968,             0.54254,             0.36855,             0.39249,             0.14576,             0.04493,            0.017112,            0.009991,            0.008911,            0.008911,            0.008911
                  13,            0.052422,            0.036891,           0.0059223,             0.42116,              0.5072,             0.46705,             0.18713,             0.04394,              0.0166,           0.0069172,            0.008812,            0.008812,            0.008812
